Copyright (c) 2012 MaxMind LLC.  All Rights Reserved.
locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
17,"O1","","","",0.0000,0.0000,,
609013,"AP","","","",35.0000,105.0000,,
104084,"EU","","","",47.0000,8.0000,,

